0.0063488;0.0044032;

0.0047104;0.004608;
0.0047104;0.0045056;0.0045056;

0.0049152;0.0045056;
0.0048128;0.0049152;0.004608;
0.0048128;0.0044032;0.0047104;0.0043008;

0.00512;0.0048128;
0.0049152;0.0049152;0.0048128;
0.0049152;0.0049152;0.0049152;0.004608;
0.0050176;0.0048128;0.0047104;0.0047104;0.0045056;

0.0055296;0.00512;
0.0050176;0.0050176;0.0048128;
0.0049152;0.0049152;0.0049152;0.0048128;
0.0053248;0.0049152;0.0049152;0.0049152;0.004608;
0.0058368;0.0050176;0.0047104;0.0048128;0.0050176;0.0050176;

0.0065536;0.0062464;
0.0054272;0.0055296;0.0053248;
0.0050176;0.0049152;0.00512;0.0049152;
0.0053248;0.0049152;0.0049152;0.0050176;0.0048128;
0.0060416;0.0053248;0.0049152;0.0048128;0.0052224;0.0053248;
0.0074752;0.0058368;0.0053248;0.0054272;0.0057344;

0.0118784;0.0110592;
0.0065536;0.0065536;0.0062464;
0.0055296;0.0054272;0.0055296;0.0053248;
0.0055296;0.00512;0.00512;0.0055296;0.0050176;
0.0063488;0.0054272;0.0050176;0.0050176;0.0052224;0.0055296;
0.0077824;0.0062464;0.005632;0.0058368;0.0062464;

0.0323584;0.029696;
0.011776;0.0118784;0.0111616;
0.006656;0.006656;0.006656;0.0064512;
0.0059392;0.0055296;0.0055296;0.005632;0.0058368;
0.0063488;0.0057344;0.0055296;0.0055296;0.0060416;0.0067584;
0.008192;0.0063488;0.0059392;0.0059392;0.0063488;

0.113562;0.103219;
0.0319488;0.0325632;0.0299008;
0.011776;0.011776;0.012288;0.0103424;
0.0075776;0.0070656;0.0070656;0.0080896;0.0100352;
0.0073728;0.0072704;0.0070656;0.0067584;0.0083968;0.010752;
0.0089088;0.0078848;0.0080896;0.0075776;0.0079872;

0.436736;0.398029;
0.112742;0.114176;0.104038;
0.0272384;0.0324608;0.0331776;0.026624;
0.014336;0.013312;0.0135168;0.0176128;0.0264192;
0.0142336;0.0142336;0.0125952;0.0136192;0.0181248;0.0284672;
0.0147456;0.0142336;0.0141312;0.013312;0.0150528;

1.71919;1.64741;
0.404787;0.443699;0.421581;
0.0982016;0.10199;0.118784;0.105779;
0.0601088;0.0488448;0.0497664;0.075776;0.106598;
0.05632;0.0509952;0.0474112;0.0492544;0.0827392;0.12759;
0.0596992;0.0556032;0.0509952;0.0475136;0.0562176;

7.72874;6.55053;
1.53364;1.70435;1.59416;
0.351232;0.45015;0.523776;0.405094;
0.216678;0.184525;0.186266;0.287949;0.408678;
0.188518;0.183296;0.180019;0.181043;0.312832;0.492851;
0.190157;0.179098;0.17705;0.17193;0.203366;

